kl: 23 , 23(0) ,46(0)
kl: 24 , 2(24) ,24(1)
kl: 24 , 2(20) ,24(1)
kl: 24 , 2(23) ,24(1)
kl: 24 , 2(19) ,24(1)
kl: 24 , 2(20) ,24(1)
kl: 24 , 2(21) ,24(1)
kl: 24 , 2(23) ,24(1)
kl: 24 , 2(23) ,24(1)
kl: 24 , 2(22) ,24(1)
kl: 24 , 2(20) ,24(1)
kl: 25 , 5(22) ,25(0)
kl: 25 , 5(21) ,25(0)
kl: 25 , 5(21) ,25(0)
kl: 25 , 5(22) ,25(0)
kl: 25 , 5(21) ,25(0)
kl: 25 , 5(23) ,25(0)
kl: 25 , 5(22) ,25(0)
kl: 25 , 5(20) ,25(0)
kl: 25 , 5(19) ,25(0)
kl: 25 , 5(24) ,25(0)
kl: 26 , 2(25) ,52(0)
kl: 26 , 2(23) ,52(0)
kl: 26 , 2(22) ,52(0)
kl: 26 , 2(24) ,52(0)
kl: 26 , 2(20) ,52(0)
kl: 26 , 2(23) ,26(0)
kl: 26 , 2(23) ,52(0)
kl: 26 , 2(25) ,52(0)
kl: 26 , 2(22) ,52(0)
kl: 26 , 2(24) ,52(0)
kl: 27 , 3(22) ,54(3)
kl: 27 , 3(23) ,54(3)
kl: 27 , 3(26) ,54(3)
kl: 27 , 3(24) ,54(3)
kl: 27 , 3(27) ,54(3)
kl: 27 , 3(22) ,54(3)
kl: 27 , 3(24) ,54(3)
kl: 27 , 3(26) ,54(3)
kl: 27 , 3(25) ,54(3)
kl: 27 , 3(23) ,54(3)
kl: 28 , 2(25) ,56(0)
kl: 28 , 2(24) ,56(0)
kl: 28 , 2(26) ,56(0)
kl: 28 , 2(27) ,56(0)
kl: 28 , 2(26) ,56(0)
kl: 28 , 2(24) ,56(0)
kl: 28 , 2(25) ,56(0)
kl: 28 , 2(26) ,56(0)
kl: 28 , 2(24) ,56(0)
kl: 28 , 2(24) ,56(0)
kl: 29 , 29(0) ,58(1)
kl: 29 , 29(0) ,58(1)
kl: 29 , 29(0) ,58(1)
kl: 29 , 29(0) ,58(1)
kl: 29 , 29(0) ,58(1)
kl: 29 , 29(0) ,58(1)
kl: 29 , 29(0) ,58(1)
kl: 29 , 29(0) ,58(1)
kl: 29 , 29(0) ,58(1)
kl: 29 , 29(0) ,58(1)
kl: 30 , 2(27) ,30(0)
kl: 30 , 2(28) ,30(0)
